"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"2105 | MOD - GSM | Post Promotion- VDO | 2026",25-34,male,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",107.45,1735,2024,,1515,,12,,,1995,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",45-54,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,107.03,1450,1791,13,11,,8,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",55-64,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,96.87,2449,2831,11,9,,9,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",55-64,male,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",91.66,1573,2381,,374,1,83,,2,2133,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",45-54,female,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",89.02,2227,2664,,763,,129,,,2449,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",35-44,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,88.56,1191,1460,21,8,,5,,1,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",25-34,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,85.4,1180,1420,11,7,,5,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",65+,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,81.61,2100,2442,14,7,,5,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",45-54,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,80.66,1456,1753,19,4,,4,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",55-64,female,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",75.1,1370,1588,,1234,,2,,,1563,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",55-64,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,74.66,1823,2094,16,10,1,9,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",55-64,female,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",69.48,1294,1871,,348,,74,1,,1643,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",35-44,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,68.42,1028,1235,13,10,,7,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",65+,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,60.4,1617,1884,11,7,,4,,2,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",25-34,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,58.6,1058,1236,17,9,,6,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",35-44,female,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",57.67,937,1129,,885,,5,,,1111,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",65+,female,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",51.09,843,1279,,293,,73,3,1,1164,2026-06-01,2026-06-29
